date_validite,risque_actuel,risque_j2,depart_spontane,declenchement_skieur,resume,id,massif,departement,zone
2026-01-29T16:00:00,3,3,"petits, sous le vent le matin puis avec les éclaircies l'après-midi.",plaques réactives dans la neige récente. ,"Départs spontanés : petits, sous le vent le matin puis avec les éclaircies l'après-midi.
Déclenchements skieurs : plaques réactives dans la neige récente. ",11,Haute-Maurienne,Savoie,Alpes du Nord
2026-01-29T16:00:00,3,3,"Possibles petites avalanches poudreuses lors des chutes de neige (vendredi matin), parfois une cassure spontanée dégénérant en avalanche conséquente ?","Surtout à l'abord des crêtes, instabilités temporaires / Plaques friables en poudreuse dense, assez difficiles à déceler. En versant froid, possible épaisse/large cassure (en cascade) en contrebas (surtout vers Emparis/Galiber)","Départs spontanés : Possibles petites avalanches poudreuses lors des chutes de neige (vendredi matin), parfois une cassure spontanée dégénérant en avalanche conséquente ?
Déclenchements skieurs : Surtout à l'abord des crêtes, instabilités temporaires / Plaques friables en poudreuse dense, assez difficiles à déceler. En versant froid, possible épaisse/large cassure (en cascade) en contrebas (surtout vers Emparis/Galiber)",12,Grandes-Rousses,Isère,Alpes du Nord
2026-01-30T16:00:00,3,3,peu probables,"plaques à vent encore faciles à déclencher, pouvant être très volumieuses en altitude","Départs spontanés : peu probables
Déclenchements skieurs : plaques à vent encore faciles à déclencher, pouvant être très volumieuses en altitude",13,Thabor,Hautes-Alpes/Savoie,Alpes du Sud
2026-01-29T16:00:00,3,2,"Rares avalanches poudreuse en pente raide, l'après-midi au soleil possibles coulées de surface...","Dès modeste altitude, possible petites plaques friables bien instables à l'abord des cols et crêtes. En faces Nord plus épaisse cassure non exclue...","Départs spontanés : Rares avalanches poudreuse en pente raide, l'après-midi au soleil possibles coulées de surface...
Déclenchements skieurs : Dès modeste altitude, possible petites plaques friables bien instables à l'abord des cols et crêtes. En faces Nord plus épaisse cassure non exclue...",14,Vercors,Isère,Alpes du Nord
2026-01-29T16:00:00,3,3,"Possibles petites avalanches poudreuses lors des chutes de neige (vendredi matin), parfois une cassure spontanée dégénérant en avalanche conséquente ?","Surtout à l'abord des crêtes, instabilités temporaires / Plaques friables en poudreuse dense, assez difficiles à déceler. En versant froid, possible épaisse/large cassure (en cascade), surtout vers Est Oisans, des 2 Alpes à La Meije/Ecrins...","Départs spontanés : Possibles petites avalanches poudreuses lors des chutes de neige (vendredi matin), parfois une cassure spontanée dégénérant en avalanche conséquente ?
Déclenchements skieurs : Surtout à l'abord des crêtes, instabilités temporaires / Plaques friables en poudreuse dense, assez difficiles à déceler. En versant froid, possible épaisse/large cassure (en cascade), surtout vers Est Oisans, des 2 Alpes à La Meije/Ecrins...",15,Oisans,Isère,Alpes du Nord
2026-01-30T16:00:00,3,3,peu probables,"plaques à vent encore faciles à déclencher, pouvant être très volumieuses en altitude","Départs spontanés : peu probables
Déclenchements skieurs : plaques à vent encore faciles à déclencher, pouvant être très volumieuses en altitude",16,Pelvoux,Hautes-Alpes,Alpes du Sud
2026-01-30T16:00:00,3,3,peu probables,"plaques à vent encore faciles à déclencher, pouvant être très volumieuses en altitude","Départs spontanés : peu probables
Déclenchements skieurs : plaques à vent encore faciles à déclencher, pouvant être très volumieuses en altitude",17,Queyras,Hautes-Alpes,Alpes du Sud
2026-01-30T16:00:00,3,3,peu probables,plaques à vent encore faciles à déclencher en altitude,"Départs spontanés : peu probables
Déclenchements skieurs : plaques à vent encore faciles à déclencher en altitude",18,Devoluy,Hautes-Alpes,Alpes du Sud
2026-01-30T16:00:00,3,3,peu probables,"plaques à vent encore faciles à déclencher, pouvant être très volumieuses en altitude","Départs spontanés : peu probables
Déclenchements skieurs : plaques à vent encore faciles à déclencher, pouvant être très volumieuses en altitude",19,Champsaur,Hautes-Alpes,Alpes du Sud
2026-01-30T16:00:00,3,3,peu probables,"plaques à vent encore faciles à déclencher, pouvant être très volumieuses en altitude","Départs spontanés : peu probables
Déclenchements skieurs : plaques à vent encore faciles à déclencher, pouvant être très volumieuses en altitude",20,Embrunais-Parpaillon,Hautes-Alpes,Alpes du Sud
2026-01-30T16:00:00,3,3,peu probables. ,"nombreuses instabilités faciles à déclencher en versants ombragés, notamment vers la Haute-Ubaye.","Départs spontanés : peu probables. 
Déclenchements skieurs : nombreuses instabilités faciles à déclencher en versants ombragés, notamment vers la Haute-Ubaye.",21,Ubaye,Alpes-de-Haute-Provence,Alpes du Sud
2026-01-30T16:00:00,3,3,peu probables. ,quelques instabilités faciles à déclencher en versants ombragés et localement très volumineuses,"Départs spontanés : peu probables. 
Déclenchements skieurs : quelques instabilités faciles à déclencher en versants ombragés et localement très volumineuses",22,Haut-Var Haut-Verdon,Alpes-de-Haute-Provence/Alpes-Maritimes,Alpes du Sud
2026-01-30T16:00:00,3,3,peu probables. ,quelques instabilités faciles à déclencher en versants ombragés et localement très volumineuses,"Départs spontanés : peu probables. 
Déclenchements skieurs : quelques instabilités faciles à déclencher en versants ombragés et localement très volumineuses",23,Mercantour,Alpes-Maritimes,Alpes du Sud
2026-01-30T16:00:00,3,3,avalanches superficielles,"Nombreuses plaques épaisses en toutes orientations, très faciles à déclencher.","Départs spontanés : avalanches superficielles
Déclenchements skieurs : Nombreuses plaques épaisses en toutes orientations, très faciles à déclencher.",40,Cinto-Rotondo,Haute-Corse,Corse
2026-01-30T16:00:00,3,3,avalanches superficielles,"Nombreuses plaques épaisses, très faciles à déclencher.","Départs spontanés : avalanches superficielles
Déclenchements skieurs : Nombreuses plaques épaisses, très faciles à déclencher.",41,Renoso-Incudine,Corse-du-Sud,Corse
2026-01-29T16:00:00,3,3,Quelques départs linéaire et ponctuels  en neige fraiche,"Instabilités dans la neige récente, et formation de nouvelles plaques à vent","Départs spontanés : Quelques départs linéaire et ponctuels  en neige fraiche
Déclenchements skieurs : Instabilités dans la neige récente, et formation de nouvelles plaques à vent",64,Pays Basque,Pyrénées-Atlantiques,Pyrénées
2026-01-29T16:00:00,3,3,Quelques départs linéaire et ponctuels  en neige fraiche,"Instabilités dans la neige récente, et formation de nouvelles plaques à vent","Départs spontanés : Quelques départs linéaire et ponctuels  en neige fraiche
Déclenchements skieurs : Instabilités dans la neige récente, et formation de nouvelles plaques à vent",65,Aspe-Ossau,Pyrénées-Atlantiques,Pyrénées
2026-01-29T16:00:00,3,3,Quelques départs linéaire et ponctuels  en neige fraiche,"Instabilités dans la neige récente, et formation de nouvelles plaques à vent","Départs spontanés : Quelques départs linéaire et ponctuels  en neige fraiche
Déclenchements skieurs : Instabilités dans la neige récente, et formation de nouvelles plaques à vent",66,Haute-Bigorre,Hautes-Pyrénées,Pyrénées
2026-01-29T16:00:00,3,3,Quelques départs linéaire et ponctuels  en neige fraiche,"Instabilités dans la neige récente, et formation de nouvelles plaques à vent","Départs spontanés : Quelques départs linéaire et ponctuels  en neige fraiche
Déclenchements skieurs : Instabilités dans la neige récente, et formation de nouvelles plaques à vent",67,Aure-Louron,Hautes-Pyrénées,Pyrénées
2026-01-29T16:00:00,3,3,Quelques départs linéaire et ponctuels  en neige fraiche,"Instabilités dans la neige récente, et formation de nouvelles plaques à vent","Départs spontanés : Quelques départs linéaire et ponctuels  en neige fraiche
Déclenchements skieurs : Instabilités dans la neige récente, et formation de nouvelles plaques à vent",68,Luchonnais,Haute-Garonne,Pyrénées
2026-01-30T16:00:00,4,4,Possibles au fur et à mesure des chutes et du transport ,Nombreuses instabilités présentes et en formation dans la neige récente,"Départs spontanés : Possibles au fur et à mesure des chutes et du transport 
Déclenchements skieurs : Nombreuses instabilités présentes et en formation dans la neige récente",69,Couserans,Ariège,Pyrénées
2026-01-30T16:00:00,4,4,Possibles au fur et à mesure des chutes et du transport ,Nombreuses instabilités présentes et en formation dans la neige récente,"Départs spontanés : Possibles au fur et à mesure des chutes et du transport 
Déclenchements skieurs : Nombreuses instabilités présentes et en formation dans la neige récente",70,Haute-Ariège,Ariège,Pyrénées
,,,,,,71,Andorre,Andorre,Pyrénées
2026-01-30T16:00:00,4,4,Possibles au fur et à mesure des chutes et du transport ,Nombreuses instabilités présentes et en formation dans la neige récente,"Départs spontanés : Possibles au fur et à mesure des chutes et du transport 
Déclenchements skieurs : Nombreuses instabilités présentes et en formation dans la neige récente",72,Orlu-Saint-Barthélemy,Ariège,Pyrénées
2026-01-30T16:00:00,3,3,Possibles au fur et à mesure des chutes et du transport ,Nombreuses instabilités présentes et en formation dans la neige récente dans un large secteur est,"Départs spontanés : Possibles au fur et à mesure des chutes et du transport 
Déclenchements skieurs : Nombreuses instabilités présentes et en formation dans la neige récente dans un large secteur est",73,Capcir-Puymorens,Pyrénées-Orientales,Pyrénées
2026-01-30T16:00:00,3,3,Possibles au fur et à mesure des chutes et du transport ,Nombreuses instabilités présentes et en formation dans la neige récente dans un large secteur est,"Départs spontanés : Possibles au fur et à mesure des chutes et du transport 
Déclenchements skieurs : Nombreuses instabilités présentes et en formation dans la neige récente dans un large secteur est",74,Cerdagne-Canigou,Pyrénées-Orientales,Pyrénées
