name,massif,lat,lon,denivele_positif,exposition,difficulty_ski,url
Col de la Vallée Étroite : Versant SW ,Vanoise,45.2581,6.5227,1300,SO,S3,https://www.camptocamp.org/routes/1292322
Pointe du Van : Couloir en S,Mont-Blanc,46.0385,6.9779,900,E,S4,https://www.camptocamp.org/routes/1291434
Pointe d'Aval / Chauvet :  Couloir W,Queyras,44.5458,6.8359,1660,O,S3,https://www.camptocamp.org/routes/1188724
Tour de la pointe de Buffère ,Thabor,44.9958,6.5544,1000,NO,S3,https://www.camptocamp.org/routes/1186400
Col des Pyramides Calcaires : Par le Val Veny,Mont-Blanc,45.7665,6.833,1100,NE,S2,https://www.camptocamp.org/routes/1183366
Boucle col de Roche Noire >> Crête de la Grande Manche,Thabor,45.0008,6.5332,1500,E,S3,https://www.camptocamp.org/routes/1182394
"Roche Rousse - Sommet S : Couloir E des ""Dents de Requins""",Vercors,44.8989,5.523,870,E,S3,https://www.camptocamp.org/routes/1282921
Grande Lance d'Allemont : Couloir S ,Belledonne,45.1492,5.9927,1735,S,S3,https://www.camptocamp.org/routes/1282578
"Pas Etoupe : Couloir ""sans issue"" NE",Vercors,44.9506,5.5222,900,NE,S5,https://www.camptocamp.org/routes/1282158
Roche Rousse - Sommet N : Couloir faille E,Vercors,44.9033,5.5208,860,E,S5,https://www.camptocamp.org/routes/1281534
Roche Rousse - Sommet N : Couloir central E,Vercors,44.9033,5.5208,810,E,S5,https://www.camptocamp.org/routes/1281244
Pointe de Comborsier : Tour depuis Grand Naves,Beaufortain,45.6101,6.5155,2050,E,S3,https://www.camptocamp.org/routes/1280401
Montagne de Sulens : Depuis la route des Pythieres,Aravis,45.8342,6.363,1106,NO,S2,https://www.camptocamp.org/routes/1278144
Le Doigt cassé : Traversée Lintre > les Ruthieux,Aravis,45.9491,6.5813,830,NE,S2,https://www.camptocamp.org/routes/1278114
Cime du Pra : versant N,Mercantour,44.0478,6.9169,890,N,S3,https://www.camptocamp.org/routes/1275109
Cima Ostanetta : da Ostana,Queyras,44.7105,7.1965,750,SE,S2,https://www.camptocamp.org/routes/1274745
Tête de Vinaigre : Versant N,Mercantour,44.3069,6.8808,600,N,S2,https://www.camptocamp.org/routes/1109921
Tour du Mont Pelve depuis le refuge du Col de la Vanoise,Vanoise,45.3521,6.785,1400,SO,S2,https://www.camptocamp.org/routes/1099522
Aiguille du Chardonnet : Grand tour par les 7 cols,Mont-Blanc,45.9697,7.0184,3200,E,S3,https://www.camptocamp.org/routes/1098936
"Pointe Mathews : ""Le Grand Couloir"" face S",Vanoise,45.3995,6.8217,2450,SE,S5,https://www.camptocamp.org/routes/1098804
Le Grand Bec : Face N de l'antécime N,Vanoise,45.4422,6.7468,1800,N,S5,https://www.camptocamp.org/routes/1098512
Dent Parrachée : Face NW - Voie des Aiguilles Grises,Vanoise,45.289,6.7562,2555,N,S5,https://www.camptocamp.org/routes/1753246
Cirque Maudit : Depuis Helbronner,Mont-Blanc,45.8497,6.8904,570,E,S2,https://www.camptocamp.org/routes/817801
Lac du Goléon : par le verrou du Greppon,Grandes-Rousses,45.0726,6.3447,700,SO,S3,https://www.camptocamp.org/routes/772622
Dent du Loup : Face SW de gauche,Chablais,46.3282,6.7355,1280,SO,S4,https://www.camptocamp.org/routes/855242
Croix du Lautaret : Depuis le Vallon de Combau,Vercors,44.7763,5.5346,900,E,S3,https://www.camptocamp.org/routes/854367
Grandes Otanes / Autannes : Grandes Otanes depuis Trient par Carraye et l'Arolette,Mont-Blanc,46.0299,6.9767,2100,E,S3,https://www.camptocamp.org/routes/853297
Tête de Rasis : depuis le Roux d'Abriès,Queyras,44.8391,6.9353,1228,E,S3,https://www.camptocamp.org/routes/853287
Col de Malaure : depuis Le Roux,Queyras,44.8114,6.9787,786,O,S3,https://www.camptocamp.org/routes/853147
Rocca la Marchisa : Rocca Marchisa par les cols de Brune et Chersogno depuis Lausetto,Queyras,44.5391,7.003,1800,S,S3,https://www.camptocamp.org/routes/852205
Bric Gavalupo da ponte Gianna,Queyras,44.9141,7.0964,900,N,S2,https://www.camptocamp.org/routes/851367
Colletto Vittorio depuis Chialvetta,Queyras,44.4112,6.9724,1050,NO,S3,https://www.camptocamp.org/routes/851360
La Foilleuse / Pointe de Savolaire : Versant NE et Plan des Merlaux,Chablais,46.2296,6.871,510,N,S4,https://www.camptocamp.org/routes/848857
Col du Pouta : Versant E par le couloir caché ,Belledonne,45.2446,6.0333,920,E,S4,https://www.camptocamp.org/routes/1639034
Colle di Valmiana : Livio Bianco > Valasco,Mercantour,44.2216,7.2388,1150,E,S4,https://www.camptocamp.org/routes/1637991
Monte Barifreddo : Couloirs NW,Queyras,44.8983,6.9879,1414,NO,S4,https://www.camptocamp.org/routes/1634583
Passo Luisas : Traversée N → S,Queyras,44.7168,7.0703,1300,N,S3,https://www.camptocamp.org/routes/1632451
Passo della Losetta / Pas de la Losetta : Traversée Sud->ouest depuis Vallanta,Queyras,44.6762,7.0589,450,S,S3,https://www.camptocamp.org/routes/1632449
Cimes du Grand Sauvage : Face E du Sommet 3049m ,Grandes-Rousses,45.1542,6.1659,1640,E,S4,https://www.camptocamp.org/routes/1632206
Il Colletto : da Chiappera,Queyras,44.4486,6.949,1200,S,S3,https://www.camptocamp.org/routes/1631661
Petit Mounier : Depuis Roya,Mercantour,44.1499,6.9626,1400,N,S3,https://www.camptocamp.org/routes/1628599
Col  du Six Carro : Traversée Val d'Arpette Combe de Barmay,Mont-Blanc,46.0256,7.0486,814,S,S4,https://www.camptocamp.org/routes/1737298
Tête de Baume Noire : Couloir N de la Grotte Suspendue,Devoluy,44.6402,5.9145,800,N,S5,https://www.camptocamp.org/routes/1737014
Le Roignais : Face et couloir W ,Beaufortain,45.643,6.6886,1600,O,S5,https://www.camptocamp.org/routes/1732010
Mont Fleuri : Couloir E,Aravis,45.9327,6.5339,1700,E,S5,https://www.camptocamp.org/routes/1730359
Roche de l'Abisse : Fort Central,Mercantour,44.1434,7.5041,550,N,S2,https://www.camptocamp.org/routes/848195
Croix d'Increne : Versant N: Lanche des Ravines,Chablais,46.153,6.8234,784,N,S3,https://www.camptocamp.org/routes/848106
Croix d'Increne : Versant SE,Chablais,46.1516,6.8326,784,SE,S3,https://www.camptocamp.org/routes/848069
Les Raies des Follys : Versant S du point 1857,Chablais,46.2036,6.6089,650,SO,S2,https://www.camptocamp.org/routes/846414
Monte Pintas : Da Balboutet con discesa dal versante NE,Queyras,45.0789,7.0441,1100,NE,S5,https://www.camptocamp.org/routes/844716
Dou de Moûtiers : Face W,Vanoise,45.5011,6.6108,1177,O,S2,https://www.camptocamp.org/routes/844521
Pointe de Cerdosse : Rampe S,Beaufortain,45.6258,6.651,1200,S,S3,https://www.camptocamp.org/routes/844281
Les Fredys : Circuit Mayères > Vallon de Coeur,Aravis,45.9372,6.561,1200,SE,S2,https://www.camptocamp.org/routes/842016
Montagne de Sulens : Depuis Les Clefs,Aravis,45.832,6.3665,1300,NO,S3,https://www.camptocamp.org/routes/841734
Monte Manzol : dalla conca del Pra per il passo Manzol,Queyras,44.731,7.0641,1200,N,S4,https://www.camptocamp.org/routes/873827
Col Sellière : dalla conca del Pra per il rifugio Granero,Queyras,44.7607,7.0478,1100,N,S3,https://www.camptocamp.org/routes/873824
Le Jocou : Versant NE et arête N,Vercors,44.7291,5.653,700,E,S3,https://www.camptocamp.org/routes/872205
Col de Talèfre : Couloir W,Mont-Blanc,45.9082,7.0124,1000,O,S4,https://www.camptocamp.org/routes/870579
Refuge du Mont Thabor : Par la Vallée Étroite,Thabor,45.1047,6.6033,1000,N,S2,https://www.camptocamp.org/routes/869626
Montagne d'Aurouze : Versant NE,Devoluy,44.6409,5.8934,940,NE,S1,https://www.camptocamp.org/routes/865409
Tête de l'Adrech d'en Barris : Par le col de la Lombarde,Mercantour,44.2048,7.145,400,E,S2,https://www.camptocamp.org/routes/865080
Monte Triplex : Da Villardamond per l'Alpe Bruns e la Rocca Nera,Queyras,44.9949,6.8748,800,S,S3,https://www.camptocamp.org/routes/1611387
Col de la Fenêtre : En boucle depuis les Contamines via la Chenalettaz,Beaufortain,45.7634,6.6895,1085,N,S3,https://www.camptocamp.org/routes/1608818
St Dalmas le Selvage - pointe Chaufrède - cime de la Bonette - crête de la Clape - crête de Pra Gaze,Mercantour,44.3261,6.8055,2626,E,S3,https://www.camptocamp.org/routes/1608632
À-Pic de Badon : Couloir NE,Belledonne,45.259,6.1111,1130,NE,S3,https://www.camptocamp.org/routes/1606612
Brèche SE du Mouchillon : Couloir E,Belledonne,45.2593,6.0923,1260,E,S5,https://www.camptocamp.org/routes/1606571
Aiguille du Midi : Éperon Jumeau,Mont-Blanc,45.8819,6.8944,1520,N,S3,https://www.camptocamp.org/routes/1675813
"Grande Fourche : Le Z, face SSE",Mont-Blanc,45.9739,7.0194,2130,S,S3,https://www.camptocamp.org/routes/1662724
Petit Rochebrune : Par les Fonts de Cervières,Queyras,44.8249,6.8459,1137,O,S3,https://www.camptocamp.org/routes/1656635
Le Génepi (Arpette) : Aller-retour depuis le Col de la Forclaz,Mont-Blanc,46.0245,7.0444,1355,N,S2,https://www.camptocamp.org/routes/1642998
Tête de la Combe de Scluos : Traversée Isola - Portettes - Préfouns,Mercantour,44.1683,7.2197,1200,N,S4,https://www.camptocamp.org/routes/1642193
Monte Scaletta : Dal vallone di Unerzio,Queyras,44.4245,6.9515,1290,N,S4,https://www.camptocamp.org/routes/864378
Bric Fontanafredda : da Pattemouche con discesa sul rifugio Troncea,Queyras,44.9662,6.9674,1010,SO,S2,https://www.camptocamp.org/routes/863184
Les Hauts-Forts : Face S - rampes E (voie des strates),Chablais,46.1587,6.7668,1246,E,S5,https://www.camptocamp.org/routes/861136
"Pointe de la Sana : Versant E, depuis le Fond des Fours",Vanoise,45.3851,6.9176,950,N,S3,https://www.camptocamp.org/routes/860956
Rocca Bianca : da Villa di Prali,Queyras,44.9044,7.074,1000,N,S3,https://www.camptocamp.org/routes/858915
Mont de la Plane ou sommet de la Loubatière : Couloir NE du Mont de la Plane,Queyras,44.9207,6.749,150,NE,S4,https://www.camptocamp.org/routes/857848
Cime de la Charvie : en traversée depuis Brunissard,Queyras,44.8556,6.7626,1600,S,S3,https://www.camptocamp.org/routes/857553
Arvieux - col de combe Laboye - col de la Rousse - Brunissard,Queyras,44.7854,6.6911,1250,E,S3,https://www.camptocamp.org/routes/857540
Pic de Ségure : traversée S-W depuis le refuge d'Agnel,Queyras,44.7381,6.9676,1100,S,S3,https://www.camptocamp.org/routes/857351
Pain de Sucre (Queyras) : Tour depuis l'Echalp,Queyras,44.71,6.9894,1750,E,S4,https://www.camptocamp.org/routes/857347
Roc de Garnesier : Couloir NW de l'épaule N,Devoluy,44.6679,5.7869,820,NO,S5,https://www.camptocamp.org/routes/857034
Anticima S Orsiera : Pendio S da Pra Catinat,Queyras,45.0602,7.1082,1150,S,S4,https://www.camptocamp.org/routes/856019
Tour du Pouilly : Col de la Tulle  > Col des Porthets,Aravis,45.813,6.4171,1400,E,S4,https://www.camptocamp.org/routes/956589
Pointe de Beauregard : depuis La Clusaz par le chalet de Corbassière,Aravis,45.8998,6.4165,620,N,S1,https://www.camptocamp.org/routes/956507
Chamechaude - Epaule N : depuis Saint-Hugues,Chartreuse,45.2966,5.7922,700,N,S3,https://www.camptocamp.org/routes/955037
Roc des Saints Pères : Couloir W,Vanoise,45.2872,6.5988,1100,O,S4,https://www.camptocamp.org/routes/954661
Monte Testa canale N da Roaschia,Mercantour,44.2461,7.4446,1152,N,S3,https://www.camptocamp.org/routes/951519
Monte Testas : da Roaschia per il vallone della Freida,Mercantour,44.2428,7.4588,1050,N,S3,https://www.camptocamp.org/routes/951225
Dôme de la Girotte : Versant SW,Beaufortain,45.7592,6.6391,780,SO,S2,https://www.camptocamp.org/routes/951182
Rocce Funs : Dal Pian Melzè per il Cumbal del Rio,Queyras,44.7167,7.0895,1050,S,S3,https://www.camptocamp.org/routes/945990
"Le Châtel ou Bonnet de Calvin : depuis Cordéac, par les barres du versant E",Devoluy,44.8225,5.8109,360,E,S3,https://www.camptocamp.org/routes/896917
La Sétaz des Prés : Couloir des Chamois,Thabor,45.1326,6.4551,250,E,S3,https://www.camptocamp.org/routes/887879
Raid  autour de la Pierra Menta,Beaufortain,45.6182,6.6088,1770,S,S2,https://www.camptocamp.org/routes/1574725
Aller retour dôme des Nants,Vanoise,45.3923,6.7907,1500,N,S1,https://www.camptocamp.org/routes/1551315
Tête de la Petite Part : Versant N,Queyras,44.6022,6.811,1390,N,S3,https://www.camptocamp.org/routes/1539780
Rocher Pilliozan : Couloir E/NE en Y,Belledonne,45.2247,6.1189,680,E,S4,https://www.camptocamp.org/routes/1536178
Punta Maladecia : Couloir SW,Mercantour,44.2444,7.131,1550,SO,S4,https://www.camptocamp.org/routes/1535511
Punta Sea Bianca : Dal Vallone della Gianna,Queyras,44.7242,7.1149,1250,N,S3,https://www.camptocamp.org/routes/1529647
Pic N de la Font Sancte : Couloir S,Queyras,44.6007,6.8014,1430,S,S4,https://www.camptocamp.org/routes/1526247
Roche de Casse : Couloir SE,Grandes-Rousses,45.0809,6.3499,970,SE,S5,https://www.camptocamp.org/routes/1620085
Col de Gébroulaz : Gébroulaz → Borgne,Vanoise,45.2711,6.6185,600,N,S3,https://www.camptocamp.org/routes/882123
La Patenaille : Couloirs E ,Chablais,46.1781,6.8209,550,E,S4,https://www.camptocamp.org/routes/881163
Tête de la Petite Part : Face E,Queyras,44.6022,6.811,1150,E,S5,https://www.camptocamp.org/routes/879558
Crête Toit - Agnelin : Couloirs jumeaux NE,Belledonne,45.2271,6.1224,905,NE,S5,https://www.camptocamp.org/routes/878212
Tête des Mourres : Par les lacs de Morgon,Mercantour,44.3326,6.9192,1060,O,S2,https://www.camptocamp.org/routes/877533
Croupe de l'Herpie : Point 3060 m : Le Z,Grandes-Rousses,45.1144,6.12,20,E,S5,https://www.camptocamp.org/routes/877259
Aiguille de Chillol : Couloir Sans Issue,Queyras,44.5718,6.8478,1310,E,S5,https://www.camptocamp.org/routes/876264
Pointe N des Lorès : Face NW,Vanoise,45.397,6.9721,400,NO,S3,https://www.camptocamp.org/routes/875761
Aiguille des Glaciers : Arête SW par la pente N du Col des Glaciers,Mont-Blanc,45.7758,6.7932,3000,SO,S3,https://www.camptocamp.org/routes/875737
Dôme des Pichères : Couloir NW,Vanoise,45.4918,6.7983,1680,NO,S5,https://www.camptocamp.org/routes/875299
"Tête de Vachères : Couloir SE, le S",Devoluy,44.6737,5.7983,1200,SE,S5,https://www.camptocamp.org/routes/972509
Cima dell'Uia da Forno di Coazze,Queyras,45.0059,7.2116,1108,N,S4,https://www.camptocamp.org/routes/972036
Col de l'Izoard : Versant S,Queyras,44.8205,6.733,720,S,S1,https://www.camptocamp.org/routes/971502
Cima Ostanetta : da Rucas - Montoso per la parete E,Queyras,44.7399,7.2164,850,E,S4,https://www.camptocamp.org/routes/971239
Le Rissiou : Face N,Grandes-Rousses,45.1837,6.0682,1600,N,S4,https://www.camptocamp.org/routes/971102
Col de Fontouse ou de Clausis : Tour de Barre Noire,Queyras,44.7358,6.7314,1000,N,S3,https://www.camptocamp.org/routes/970928
Pointe des Plines : Couloir ENE,Mont-Blanc,45.9812,7.0574,1870,E,S5,https://www.camptocamp.org/routes/969291
Aiguilles d'Arpette - Creux Magnin (point 2614 m) : Couloir du Mètre Huitant,Mont-Blanc,46.0147,7.0862,940,E,S5,https://www.camptocamp.org/routes/969105
L'Etale - Triangle 2112 m : Face NW,Aravis,45.8523,6.4352,920,NO,S5,https://www.camptocamp.org/routes/968066
Crête des Blattes : Couloirs NW,Chablais,46.274,6.784,1100,NO,S5,https://www.camptocamp.org/routes/967940
Cimes du Grand Sauvage : Face S du Sommet 3049m,Grandes-Rousses,45.1542,6.1659,1640,S,S5,https://www.camptocamp.org/routes/1508698
Traversée W -E du col de Fontaine Froide par le col de la vallée étroite,Thabor,45.1689,6.6502,1020,N,S3,https://www.camptocamp.org/routes/1508498
Pas de la Bosse : En boucle depuis La Chapelle d’Abondance,Chablais,46.3253,6.7742,750,SO,S2,https://www.camptocamp.org/routes/1506377
Brèche des Ombres : Couloir N de la Cathédrale,Devoluy,44.7545,5.8444,900,N,S4,https://www.camptocamp.org/routes/1506334
Croix de Fer : Couloir SE direct,Mont-Blanc,46.0465,6.994,1030,SE,S5,https://www.camptocamp.org/routes/1504475
Monte Corbioun : Da Bousson per versante NO e cresta dal Petit Cric,Queyras,44.903,6.8053,1000,N,S3,https://www.camptocamp.org/routes/1502080
Aiguille à Bochard : Arête S -> couloir W -> couloir du Chapeau,Mont-Blanc,45.9467,6.9383,250,S,S4,https://www.camptocamp.org/routes/1498781
Mont Morbié / Mont Pelat : Par les anciennes pistes,Bauges,45.594,6.1161,600,NO,S3,https://www.camptocamp.org/routes/1497543
Monte Querrelet : Da Sestriere per il monte Sises,Queyras,44.939,6.9022,1100,N,S3,https://www.camptocamp.org/routes/1599614
Mont Lachat (Thônes) : Face NW (hiver),Aravis,45.9295,6.3499,1100,N,S5,https://www.camptocamp.org/routes/1598752
Les Droites : Couloir Lagarde (voie Lagarde - Arsandaux),Mont-Blanc,45.9322,6.9948,2760,NE,S3,https://www.camptocamp.org/routes/1575923
Cime du Pisset : Depuis le Boréon,Mercantour,44.1006,7.3122,733,N,S3,https://www.camptocamp.org/routes/967008
Clochers d'Arpette : Couloir de la Dzeu,Mont-Blanc,46.0419,7.0765,1390,NE,S4,https://www.camptocamp.org/routes/966401
Clochers d'Arpette : Face NE,Mont-Blanc,46.0419,7.0765,1390,N,S5,https://www.camptocamp.org/routes/966394
Col  Laroussa : Par le vallon supérieur de l'Alpette,Mercantour,44.2737,7.0245,1010,NE,S3,https://www.camptocamp.org/routes/965818
Mont Saletta : Épaule 2600 m Couloir NW,Mercantour,44.2741,7.0253,1150,NO,S4,https://www.camptocamp.org/routes/965813
Cima delle Vallette : da Balboutet per versante S in salita e discesa parete E,Queyras,45.0696,6.9934,1200,E,S5,https://www.camptocamp.org/routes/963818
Pointes du Mouchillon : Faux Couloir NE Central,Belledonne,45.2635,6.0922,1050,NE,S5,https://www.camptocamp.org/routes/963682
Pointe de la Corne de Bouc : en boucle,Mercantour,44.0507,7.4956,1100,N,S3,https://www.camptocamp.org/routes/961099
Pointe Inférieure de Tricot : Face NE,Mont-Blanc,45.849,6.7896,1500,NE,S3,https://www.camptocamp.org/routes/958601
Rochers de Vallorin : Couloir du Natey en boucle depuis le sommet W,Belledonne,45.319,6.199,1540,NE,S4,https://www.camptocamp.org/routes/983555
L'Église de la Tour Sallière : Couloir E,Chablais,46.1581,6.8346,1000,E,S5,https://www.camptocamp.org/routes/982601
Grande Roche de Thiervoz : Couloir NE de droite,Belledonne,45.286,6.109,1370,NE,S5,https://www.camptocamp.org/routes/982263
Grande Roche de Thiervoz : Couloir NE de gauche,Belledonne,45.2854,6.1098,1370,NE,S4,https://www.camptocamp.org/routes/982200
La Lauzière : Versant N,Queyras,44.8044,6.9612,900,N,S3,https://www.camptocamp.org/routes/980194
La Lauzière : Versant S depuis la Monta,Queyras,44.774,6.9754,900,S,S3,https://www.camptocamp.org/routes/980186
Pointe de Dreveneuse : Couloir S,Chablais,46.2601,6.8913,1000,S,S5,https://www.camptocamp.org/routes/979476
Tête du Château : En boucle depuis Romme,Aravis,45.9904,6.5708,1000,NO,S3,https://www.camptocamp.org/routes/978724
Rochers de la Sueur : canale della grotta ramo destro,Thabor,45.0391,6.6706,750,NE,S5,https://www.camptocamp.org/routes/978678
Les Cluots : par Roubion-les-Buisses,Mercantour,44.0484,7.0062,800,NE,S1,https://www.camptocamp.org/routes/977669
Punta Gros Vallon : Da Chateau Beaulard per la canala,Thabor,45.0129,6.7562,1330,E,S4,https://www.camptocamp.org/routes/1408289
Pointe de la Petite Glière : Rampe S,Vanoise,45.4121,6.7983,1588,S,S5,https://www.camptocamp.org/routes/1407877
Aiguille Pers : Versant NW - Épaule N  ,Vanoise,45.4472,7.0548,1350,N,S4,https://www.camptocamp.org/routes/1406657
Tête du Claus : Directe Nord-Ouest,Mercantour,44.1839,7.2007,1350,NE,S5,https://www.camptocamp.org/routes/1405489
Brèche du Casset : versant S depuis Le Monetier,Thabor,44.9759,6.5096,1350,N,S3,https://www.camptocamp.org/routes/1404714
"Pointe du Châtel :  par Montzard, pente NNE",Grandes-Rousses,45.1803,6.255,1125,NE,S2,https://www.camptocamp.org/routes/1404373
Mont Aver : Traversée S>NW,Mercantour,44.2247,7.1478,1000,N,S4,https://www.camptocamp.org/routes/1403289
Mont Aiguille : Tour anti-horaire au plus près,Vercors,44.8449,5.5803,1700,N,S3,https://www.camptocamp.org/routes/1398204
Crête du vallon de Belle Combe -  pointe 2990 m : Circuit par le balcon supérieur du val Ferret,Mont-Blanc,45.838,7.0673,1810,S,S4,https://www.camptocamp.org/routes/1396857
Rochers du Ranc Traversier : Rampe Pagran,Vercors,44.9339,5.5197,960,N,S4,https://www.camptocamp.org/routes/1396522
Pointe de Méan Martin : depuis le Villaron - Bessans,Vanoise,45.3659,6.9856,1950,E,S3,https://www.camptocamp.org/routes/1525735
Pointe du Midi : Arête W et Couloir E,Mont-Blanc,46.0224,6.9898,500,O,S4,https://www.camptocamp.org/routes/1524068
Pointe du Sifflet : Couloir E de l’arête N ,Belledonne,45.2157,6.0175,1080,E,S4,https://www.camptocamp.org/routes/1522806
"Monte Ciaslaràs : en boucle : montée par la Valle del Maurin et le versant Nord, descente par le versant Sud et le Vallone dell'Infernetto",Queyras,44.5453,6.8823,1400,N,S3,https://www.camptocamp.org/routes/1519294
Pointe du Midi : Arête W et Face NE,Mont-Blanc,46.0224,6.9898,450,NE,S3,https://www.camptocamp.org/routes/1517187
Punta Faurì : Traversata da Bessen Haut a Pattemouche,Queyras,44.9055,6.9537,1100,N,S3,https://www.camptocamp.org/routes/1508919
Chamechaude : Face NW Directe,Chartreuse,45.2887,5.7854,758,NO,S4,https://www.camptocamp.org/routes/977456
Montagne de Sous-Dine : Sur Cou > Roche Parnal > Sous-Dine,Aravis,46.0053,6.3478,1650,E,S3,https://www.camptocamp.org/routes/977028
Rocce del Fraiteve,Queyras,44.9773,6.8624,1400,O,S3,https://www.camptocamp.org/routes/976750
Clot della Soma : da Pragelato lungo la pista del Clot,Queyras,44.988,6.9504,950,N,S3,https://www.camptocamp.org/routes/975392
"Tête de Vachères : Couloir S Parallèle, sortie directe",Devoluy,44.6737,5.7983,1220,SE,S3,https://www.camptocamp.org/routes/974589
Col de la Ruine : Traversée Genova → Boréon,Mercantour,44.1502,7.329,709,N,S3,https://www.camptocamp.org/routes/974511
Pointe Salvador : Couloir NE,Grandes-Rousses,45.1194,6.348,1000,N,S4,https://www.camptocamp.org/routes/828282
Rochers de l'Ours : par la Combe Noire,Vercors,45.0687,5.6055,860,O,S4,https://www.camptocamp.org/routes/974077
Pointe de Haute Béne : voie du Z,Chablais,46.1951,6.6357,1100,NO,S5,https://www.camptocamp.org/routes/973743
Aiguille de Montaubert - Couloir Lerouzic,Aravis,45.8187,6.318,817,E,S3,https://www.camptocamp.org/routes/973662
Tête de Vachères : Rampe suspendue SE,Devoluy,44.6737,5.7983,1185,SE,S4,https://www.camptocamp.org/routes/973270
Monte Rocciavrè : Gran Diedro S,Queyras,45.0488,7.1588,1050,S,S5,https://www.camptocamp.org/routes/1070651
Turge de la Suffie : Face SSW en traversée depuis le Laus,Queyras,44.8375,6.7769,1280,S,S3,https://www.camptocamp.org/routes/1068407
Roche Courbe : La Cicatrice,Devoluy,44.6983,5.8568,862,SE,S4,https://www.camptocamp.org/routes/1068264
Passage du Pic du Thabor : Boucle par le Col des Marches,Thabor,45.1516,6.5309,1700,E,S2,https://www.camptocamp.org/routes/1067305
