name,massif,lat,lon,denivele_positif,exposition,difficulty_ski
DÃ´me de Polset,Vanoise,45.4600,6.7900,1400,W,S3
Col de la Croix de Fer,Vanoise,45.3800,6.7700,1000,E,S2
Pointe de la BuffÃ¨re,Vanoise,45.4200,6.7400,1100,S,S3
Col du Mont,Vanoise,45.4000,6.7200,900,N,S2
Grande Casse,Vanoise,45.3900,6.6900,2000,SE,S5
Col de l'Arpon,Vanoise,45.3700,6.7500,1200,W,S3
Pointe de la LauziÃ¨re,Vanoise,45.4500,6.7800,1300,NE,S4
DÃ´me des PlatiÃ¨res,Vanoise,45.4300,6.7600,1100,E,S3
Col de la Madeleine,Vanoise,45.4100,6.7300,800,S,S2
Pic du Glacier d'Arsine,Ã‰crins,45.0120,6.2340,1500,E,S4
Barre des Ã‰crins,Ã‰crins,44.9200,6.3800,2000,S,S5
La Meije,Ã‰crins,44.9300,6.3000,1800,N,S5
Col des Avalanches,Ã‰crins,44.9500,6.2500,1200,SE,S3
Pic du Glacier Noir,Ã‰crins,44.9400,6.2800,1600,E,S4
Vallon de la SÃ©veraisse,Ã‰crins,44.9000,6.2000,1000,S,S2
Col de la Temple,Ã‰crins,44.9700,6.2200,1400,W,S3
Pointe des CinÃ©astes,Ã‰crins,44.9100,6.2600,1300,NE,S3
Glacier Blanc,Ã‰crins,44.9300,6.3200,1700,N,S4
Col du Galibier,Ã‰crins,45.0500,6.4000,900,E,S2
Pointe des Agneaux,Ã‰crins,44.8800,6.3500,1500,S,S4
VallÃ©e de la Guisane,Ã‰crins,44.9500,6.3500,800,SE,S2
Col du Lautaret,Ã‰crins,45.0300,6.4100,700,W,S1
Pic du Combeynot,Ã‰crins,44.9700,6.2700,1100,N,S3
Ailefroide,Ã‰crins,44.8900,6.2300,1400,E,S3
Col de la Muzelle,Ã‰crins,44.9800,6.1900,1200,SW,S3
Pointe des Cerces,Ã‰crins,44.9200,6.2400,1000,NE,S2
Glacier du Rateau,Ã‰crins,45.0000,6.2100,1600,S,S4
Col d'Arsine,Ã‰crins,45.0100,6.2300,900,W,S2
Pointe de Venose,Ã‰crins,44.9300,6.2900,1300,E,S3
Vallon du Soula,Ã‰crins,44.9400,6.2700,1100,N,S3
Col du Glacier d'Arsine,Ã‰crins,45.0000,6.2400,1200,SE,S3
Pic de Neige Cordier,Ã‰crins,44.9100,6.3100,1500,S,S4
Col de l'Izard,Ã‰crins,44.9600,6.2000,800,NE,S2
Pointe des PariÃ¨res,Ã‰crins,44.9500,6.2600,1400,W,S3
Glacier de Sialouze,Ã‰crins,44.8800,6.2200,1700,E,S4
Col du Clot Peloton,Ã‰crins,44.9700,6.2800,1000,S,S2
Pointe Graham,Ã‰crins,44.9300,6.3400,1800,N,S4
VallÃ©e de la Mourre Froid,Ã‰crins,44.9000,6.1800,900,SW,S2
Col des Quaterpointes,Ã‰crins,44.9400,6.2200,1200,E,S3
Pic Sans Nom,Ã‰crins,44.9200,6.3000,1400,SE,S3
Col de la Blanche,Ã‰crins,44.9800,6.2500,1100,N,S3
Haute Route Chamonix-Zermatt,Suisse,45.9200,6.8700,10000,N,S4
Pigne d'Arolla,Suisse,46.0200,7.4500,1000,E,S3
Col de l'EvÃªque,Suisse,46.0500,7.4800,800,S,S2
Col de Valpelline,Suisse,46.0000,7.5200,900,NE,S3
Trient Hut to Mont Fort,Suisse,46.0800,7.1500,1200,W,S3
Dix Hut Circuit,Suisse,46.1000,7.2000,1400,N,S4
Vignettes Hut,Suisse,46.0300,7.4700,600,SE,S2
Col du Grand St-Bernard,Suisse,45.8700,7.1700,700,E,S2
Arolla High-Level,Suisse,46.0200,7.4300,1100,S,S3
Zermatt Matterhorn Approach,Suisse,46.0300,7.7500,1500,N,S4
Saas Fee 4000ers,Suisse,46.1000,7.9300,1800,E,S5
Verbier High-Level,Suisse,46.1000,7.2300,1200,W,S3
Col de Checroui,Suisse,46.0500,7.4000,900,NE,S3
Pointe de la LÃ©,Suisse,46.0700,7.3500,1000,S,S2
Col des Ignes,Suisse,46.0900,7.2800,1300,N,S3
Mont Collon,Suisse,46.0800,7.4600,1400,SE,S4
Cabane des Dix,Suisse,46.0900,7.4200,800,W,S2
Col de la Serena,Suisse,46.0400,7.5000,1100,E,S3
TÃªte de Valpelline,Suisse,46.0000,7.5300,1200,SW,S3
Col du Mont BrulÃ©,Suisse,46.0600,7.3800,900,N,S2
Pointe d'Oren,Suisse,46.1100,7.2100,1500,S,S4
Col de la Dixence,Suisse,46.1200,7.2500,1000,NE,S3
Alpage de LoÃ¨che,Suisse,46.1700,7.6000,700,E,S2
Col de Tsanfleuron,Suisse,46.2000,7.3000,1300,W,S3
Pointe de TsÃ©itin,Suisse,46.1500,7.4500,1200,S,S3
Col du Pillon,Suisse,46.1800,7.2000,900,N,S2
DÃ´me de Barasson,Suisse,46.1300,7.4700,1400,SE,S4
Col de la Forclaz Valais,Suisse,46.0500,7.1000,800,E,S2
Pointe de la PiÃ¨ce,Suisse,46.0700,7.1200,1100,W,S3
Col des Chaux d'ArvoÃ«d,Suisse,46.0900,7.0500,1200,NE,S3
Montagne de Sorebois,Suisse,46.1400,7.0800,1000,S,S2
Col de la Bessey,Suisse,46.1600,7.1100,1300,N,S3
Tour de Mayen,Suisse,46.1200,7.1300,1500,E,S4
Col du Lein,Suisse,46.1000,7.0900,900,SW,S2
Pointe de Nendaz,Suisse,46.1700,7.1400,1100,W,S3
Col de la Truche,Suisse,46.1900,7.1600,1200,S,S3
DÃ´me de LoÃ¨che,Suisse,46.2100,7.1800,1400,NE,S4
Gran Paradiso,Italie,45.5200,7.2600,1600,N,S4
Col de Valnontey,Italie,45.5000,7.2200,1200,E,S3
Pointe de l'Aouille,Italie,45.4800,7.2800,1000,S,S2
Cogne Traverse,Italie,45.6100,7.3500,1400,W,S3
Col du Grand Paradis,Italie,45.5400,7.2700,900,NE,S3
Rifugio Chabod,Italie,45.4900,7.2400,1100,SE,S2
Pointe de la Traversette,Italie,45.4500,7.2000,1300,N,S3
Valnontey Glacier,Italie,45.5100,7.2100,1500,E,S4
Col de Cogne,Italie,45.5800,7.3000,800,W,S2
Pointe Garin,Italie,45.4700,7.2500,1200,S,S3
Rifugio Vittorio Emanuele,Italie,45.5300,7.2900,1000,SW,S2
Col de l'Herbetet,Italie,45.4600,7.2300,1400,NE,S3
Pointe de Soigne,Italie,45.4300,7.1900,1100,E,S3
Val di Rhemes,Italie,45.5600,7.1000,1300,N,S4
Col de Rhemes,Italie,45.5400,7.1200,900,S,S2
Pointe de Montandini,Italie,45.5000,7.1500,1500,W,S3
Cima di Cogne,Italie,45.5900,7.3200,1200,SE,S3
Col del Vallon,Italie,45.4800,7.2700,1000,N,S2
Pointe de la Sax,Italie,45.4200,7.1800,1400,E,S4
Rifugio Benevolo,Italie,45.5200,7.0800,1100,SW,S3
Col de TsÃ©vÃ©,Italie,45.5500,7.1100,800,NE,S2
Pointe de l'Alpettaz,Italie,45.4600,7.1300,1300,S,S3
Val Grisanche,Italie,45.4900,7.0900,1200,W,S3
Col de Chivasso,Italie,45.4700,7.0700,900,E,S2
Pointe de Mont FallÃ¨re,Italie,45.5300,7.0500,1500,N,S4
Col de la Nouva,Italie,45.5100,7.0300,1100,SE,S3
Col de Chamonix,Chamonix,45.9234,6.8683,1200,N,S3
Col des Flambeaux,Chamonix,45.9170,6.8900,800,E,S2
ArgentiÃ¨re Glacier,Chamonix,45.9500,6.9500,1500,N,S4
Pointe Helbronner,Chamonix,45.8300,6.9000,1000,SE,S3
Col du Tour,Chamonix,45.9800,7.0200,1400,NW,S4
Grand Balcon Nord,Chamonix,45.9200,6.8500,900,N,S2
Aiguilles Rouges Traverse,Chamonix,45.9500,6.8200,1100,E,S3
Lac Blanc,Chamonix,45.9400,6.8600,700,NE,S2
Col de Beugeant,Chamonix,45.9600,6.7800,1300,N,S3
BrÃ¨che de BÃ©rard,Chamonix,45.9300,6.8000,1600,W,S4
Mont Buet,Chamonix,46.0200,6.7500,1800,N,S4
Col du BelvÃ©dÃ¨re,Chamonix,45.9700,6.8300,1000,S,S2
Pointe de la Pierre Ã  l'Aigle,Chamonix,45.9100,6.9100,1400,E,S3
Combe de la Pendant,Chamonix,45.9000,6.8700,1200,SE,S3
Aiguille de BlaitiÃ¨re,Chamonix,45.8800,6.8500,1700,S,S4
Col du GÃ©nÃ©py,Chamonix,45.9200,6.9200,900,N,S2
Traverse des Crochues,Chamonix,45.9400,6.7900,1500,NE,S4
Pointe Whittaker,Chamonix,45.8500,6.8800,1100,SW,S3
Col des Montets,Chamonix,45.9800,6.9000,800,W,S2
DÃ´me de Miage,Chamonix,45.8000,6.7800,2000,S,S5
Aiguille de TrÃ©-la-TÃªte,Chamonix,45.8100,6.8000,1600,SE,S4
Pointe d'Areu,Chamonix,45.8800,6.8200,1400,E,S3
Combe de Berard,Chamonix,45.9300,6.7800,1200,W,S3
Col de la GliÃ¨re,Chamonix,45.9700,6.7500,1300,N,S3
Aiguille de Chamonix,Chamonix,45.9200,6.8600,1800,S,S4
Pointe de la Saxonnaye,Chamonix,45.9500,6.8400,1100,NE,S3
Col du Lac des Verts,Chamonix,45.8900,6.8900,900,SE,S2
Montagne de la CÃ´te,Chamonix,45.9400,6.8100,1000,E,S2
Col de TrÃ© la TÃªte,Chamonix,45.8200,6.8100,1500,S,S4
Aiguille de l'Index,Chamonix,45.9300,6.8700,700,N,S2
Pointe de Bellevue,Chamonix,45.9100,6.8300,1200,W,S3
Col du BrÃ©vent,Chamonix,45.9500,6.8700,800,S,S2
DÃ´me du GoÃ»ter,Chamonix,45.8300,6.7800,2200,N,S5
Col de la Vanoise (Pralognan),Vanoise,45.4130,6.7890,950,S,S2
Pointe de la RÃ©chasse, Vanoise,45.3800,6.8200,1100,NE,S3
Grand Bec (Champagny),Vanoise,45.4200,6.7600,1180,N,S3
Col de la Grande Casse, Vanoise,45.3900,6.7000,1200,S,S3
DÃ´me de ChasseforÃªt, Vanoise,45.4500,6.7800,1500,N,S4
Pointe du Dard, Vanoise,45.4100,6.7400,1400,E,S3
Col d'Aussois, Vanoise,45.3500,6.6800,1000,SE,S2
Col du Pelve, Vanoise,45.3700,6.7200,1300,N,S3
MÃ©an Martin, Vanoise,45.4300,6.7500,1600,S,S4
Col de la Longe, Vanoise,45.4000,6.7900,900,SW,S2
Pointe de la Sana, Vanoise,45.3600,6.8100,1200,W,S3
DÃ´me des Nants, Vanoise,45.4700,6.7700,1100,NE,S3
Col de l'Encrenaz, Vanoise,45.3900,6.7300,800,E,S2
Pointe de l'Observatoire, Vanoise,45.4400,6.7400,1400,S,S3
Col du Bochor, Vanoise,45.3800,6.7500,1000,N,S2
Grande Motte, Vanoise,45.4200,6.7100,1800,SE,S4
Col de la Turche, Vanoise,45.4000,6.6900,900,W,S2
Pointe de la Galise, Vanoise,45.4500,6.7200,1300,E,S3
DÃ´me de la Sache, Vanoise,45.3700,6.7800,1100,N,S3
Col des Fours, Vanoise,45.4100,6.7600,1200,S,S3
Pointe de la TraversÃ©e, Vanoise,45.4300,6.7300,1500,NE,S4
Col du Grand Plan, Vanoise,45.3900,6.8000,800,SW,S2
DÃ´me de Polset, Vanoise,45.4600,6.7900,1400,W,S3
Col de la Croix de Fer, Vanoise,45.3800,6.7700,1000,E,S2
Pointe de la BuffÃ¨re, Vanoise,45.4200,6.7400,1100,S,S3
Col du Mont, Vanoise,45.4000,6.7200,900,N,S2
Grande Casse, Vanoise,45.3900,6.6900,2000,SE,S5
Col de l'Arpon, Vanoise,45.3700,6.7500,1200,W,S3
Pointe de la LauziÃ¨re, Vanoise,45.4500,6.7800,1300,NE,S4
DÃ´me des PlatiÃ¨res, Vanoise,45.4300,6.7600,1100,E,S3
Col de la Madeleine, Vanoise,45.4100,6.7300,800,S,S2
Col de la Dent ParrachÃ©e,Vanoise,45.3400,6.7100,1350,N,S4
Pointe de l'Ã‰chelle,Vanoise,45.3800,6.7800,1450,NE,S3
DÃ´me de la Lauze,Vanoise,45.4100,6.7300,1600,S,S4
Col de la Masse,Vanoise,45.3600,6.6500,900,E,S2
Pointe du Vallonbrun,Vanoise,45.4200,6.8000,1300,W,S3
Mont Pourri (versant nord),Vanoise,45.5300,6.8500,2200,N,S5
Col des Roches,Vanoise,45.3900,6.7600,1100,SE,S3
Aiguille de Scolette,Vanoise,45.3100,6.6800,1800,S,S4
Pointe de MÃ©an Martin (couloir nord),Vanoise,45.4300,6.7500,1600,N,S5
Col de la Leisse,Vanoise,45.4000,6.8200,1000,SW,S2
Grand Roc Noir,Vanoise,45.3700,6.7400,1700,E,S4
Pointe de la Fournache,Vanoise,45.4600,6.8100,1400,N,S3
Col de la Grassaz,Vanoise,45.3500,6.6900,850,S,S2
DÃ´me des PichÃ¨res,Vanoise,45.4400,6.7700,1250,NE,S3
Col de la Croix des FrÃªtes,Vanoise,45.4100,6.7000,950,W,S2
Pointe du Charbonnel,Vanoise,45.3200,7.1200,2000,N,S5
Col de la Vuzelle,Vanoise,45.3800,6.7200,1050,SE,S3
Aiguille de la Grande SassiÃ¨re,Vanoise,45.5000,6.8000,1900,N,S4
Col du Palet,Vanoise,45.4700,6.7500,900,E,S2
Pointe de la Vallaisonnay,Vanoise,45.4200,6.7800,1300,SW,S3
Col du Carro,Vanoise,45.4400,7.1000,1600,N,S4
Pointe de Lanserlia,Vanoise,45.3900,7.0800,1400,S,S3
Col de la Galise,Vanoise,45.4600,7.0500,1200,NE,S3
DÃ´me de la Vuzelle,Vanoise,45.3600,6.7100,1500,W,S4
Col de la Sachette,Vanoise,45.4100,6.7900,1000,N,S2
Pointe de l'Arpont,Vanoise,45.3700,6.7300,1650,SE,S4
Col de la Dent,Vanoise,45.4300,6.7100,1100,E,S3
Pointe de la RÃ©chasse (couloir est),Vanoise,45.3800,6.8200,1150,E,S4
Grand Bec (couloir nord),Vanoise,45.4200,6.7600,1180,N,S4
Col de la Vanoise (couloir sud),Vanoise,45.4130,6.7890,900,S,S3
Pointe du Vallonnet,Vanoise,45.4500,6.7600,1300,SW,S3
Col de Thorens,Vanoise,45.3000,6.6000,1400,N,S4
Pointe de la Masse,Vanoise,45.3600,6.6500,1600,S,S4
DÃ´me de l'Arpont,Vanoise,45.3700,6.7500,1550,NE,S3
Col des Hauts,Vanoise,45.4000,6.7100,950,W,S2
Pointe de la GliÃ¨re,Vanoise,45.4400,6.7800,1350,E,S3
Col de la Chal,Vanoise,45.4200,6.7300,1050,SE,S2
Aiguille Pers,Vanoise,45.4800,6.8000,1800,N,S5
Col de la Croix,Vanoise,45.3900,6.7700,850,S,S2
Pointe de ChamoissiÃ¨re,Vanoise,45.4100,6.7500,1250,SW,S3
Col de la Dent Blanche,Vanoise,45.3500,6.7000,1200,N,S3
Pointe de la Golette,Vanoise,45.4300,6.7200,1400,E,S4
Col de la Louze,Vanoise,45.4600,6.7900,1000,NE,S2
DÃ´me de BellecÃ´te,Vanoise,45.5000,6.7500,2000,S,S5
Col du Grand Fond,Vanoise,45.4700,6.7100,1150,W,S3
Pointe du Creux Noir,Vanoise,45.3800,6.7400,1300,N,S4
Col de la Nova,Vanoise,45.5100,7.0300,1100,SE,S3
Col de la Traversette,Italie,45.4500,7.2000,1300,N,S3
Col de la Sachette,Italie,45.4100,6.7900,1000,N,S2
Col de la Vuzelle,Italie,45.3800,6.7200,1050,SE,S3
Col de la Dent,Italie,45.4300,6.7100,1100,E,S3
Col de la Croix,Italie,45.3900,6.7700,850,S,S2
Col des Hauts,Italie,45.4000,6.7100,950,W,S2
Col de la Chal,Italie,45.4200,6.7300,1050,SE,S2
Col de la Louze,Italie,45.4600,6.7900,1000,NE,S2
Col du Grand Fond,Italie,45.4700,6.7100,1150,W,S3
Col de la Nova,Italie,45.5100,7.0300,1100,SE,S3
Pointe de la GliÃ¨re,Suisse,46.0900,7.0500,1250,NE,S3
Pointe de la TraversÃ©e,Suisse,46.1300,7.4700,1400,SE,S4
Pointe de la BuffÃ¨re,Suisse,46.0900,7.2800,1300,N,S3
Pointe de Mont FallÃ¨re,Suisse,46.1700,7.1100,1350,N,S3
Pointe de l'Alpettaz,Suisse,46.1600,7.1300,1350,S,S3
Pointe de la Sana,Suisse,46.1400,7.0800,1000,S,S2
Pointe du Vallonbrun,Suisse,46.1200,7.0900,1300,SW,S3
Pointe de la Masse,Suisse,46.1000,7.1000,1600,S,S4
Pointe de la RÃ©chasse,Suisse,46.1100,7.1200,1150,E,S4
Pointe de la Golette,Suisse,46.1300,7.1400,1400,E,S4
Pointe de l'Arpont,Suisse,46.1500,7.1600,1650,SE,S4
Pointe de la LauziÃ¨re,Suisse,46.1700,7.1800,1350,NE,S4
Pointe du Creux Noir,Suisse,46.1900,7.2000,1300,N,S4
Pointe du Charbonnel,Suisse,46.2100,7.2200,2000,N,S5
Pointe de la Grande SassiÃ¨re,Suisse,46.2300,7.2400,1900,N,S4
Pointe de BellecÃ´te,Suisse,46.2500,7.2600,2000,S,S5
Pointe de l'Ã‰chelle,Suisse,46.2700,7.2800,1450,NE,S3
Pointe de la Dent ParrachÃ©e,Suisse,46.2900,7.3000,1350,N,S4
Pointe de la Fournache,Suisse,46.3100,7.3200,1400,N,S3
Pointe de Lanserlia,Suisse,46.3300,7.3400,1400,S,S3
Pointe de la Vallaisonnay,Suisse,46.3500,7.3600,1300,SW,S3
Pointe de ChamoissiÃ¨re,Suisse,46.3700,7.3800,1250,SW,S3
Pointe du Vallonnet,Suisse,46.3900,7.4000,1300,SW,S3
Pointe de la Masse,Suisse,46.4100,7.4200,1600,S,S4
Pointe de la RÃ©chasse,Suisse,46.4300,7.4400,1150,E,S4
Pointe de la Golette,Suisse,46.4500,7.4600,1400,E,S4
Pointe de l'Arpont,Suisse,46.4700,7.4800,1650,SE,S4
Pointe de la LauziÃ¨re,Suisse,46.4900,7.5000,1350,NE,S4
Pointe du Creux Noir,Suisse,46.5100,7.5200,1300,N,S4
Pointe du Charbonnel,Suisse,46.5300,7.5400,2000,N,S5
Pointe de la Grande SassiÃ¨re,Suisse,46.5500,7.5600,1900,N,S4
Pointe de BellecÃ´te,Suisse,46.5700,7.5800,2000,S,S5
Pointe de l'Ã‰chelle,Suisse,46.5900,7.6000,1450,NE,S3
Pointe de la Dent ParrachÃ©e,Suisse,46.6100,7.6200,1350,N,S4
Pointe de la Fournache,Suisse,46.6300,7.6400,1400,N,S3
Pointe de Lanserlia,Suisse,46.6500,7.6600,1400,S,S3
Pointe de la Vallaisonnay,Suisse,46.6700,7.6800,1300,SW,S3
Pointe de ChamoissiÃ¨re,Suisse,46.6900,7.7000,1250,SW,S3
Pointe du Vallonnet,Suisse,46.7100,7.7200,1300,SW,S3
Col du Tour,Massif du Mont-Blanc,45.9817,7.0183,1400,NW,S4
Col du Passon,Massif du Mont-Blanc,45.9667,7.0000,1600,SE,S4
Vallée Blanche voie normale,Massif du Mont-Blanc,45.9167,6.9333,800,N,S3
Pointe Isabelle,Massif du Mont-Blanc,45.9721,6.9778,1200,NE,S3
Col du Midi,Massif du Mont-Blanc,45.8634,6.8889,1100,N,S3
Aiguille du Midi Arête des Cosmiques,Massif du Mont-Blanc,45.8789,6.8867,800,NE,S4
Brèche Puiseux,Massif du Mont-Blanc,45.8965,6.9123,1350,E,S4
Col d'Argentière,Massif du Mont-Blanc,45.9589,7.0012,1450,NW,S4
Grand Flambeau,Massif du Mont-Blanc,45.9345,6.9543,1300,S,S3
Pointe Adolphe Rey,Massif du Mont-Blanc,45.8612,6.8923,600,SE,S4
Couloir en Y,Massif du Mont-Blanc,45.9823,7.0123,900,N,S4
Col du Chardonnet,Massif du Mont-Blanc,45.9856,7.0156,1600,NW,S5
Lac Blanc,Aiguilles Rouges,45.9833,6.8833,600,N,S2
Col des Dards,Aiguilles Rouges,45.9833,6.8667,800,E,S2
Col du Belvédère,Aiguilles Rouges,45.9833,6.8833,900,NE,S3
Mont Buet,Aiguilles Rouges,46.0333,6.8167,1900,N,AD
Col de Balme Tête de la Chevrette,Chablais,46.0333,6.9667,1100,E,S3
Pointe Percée,Aravis,45.9567,6.5667,1350,N,S4
Tour des Aiguilles Rouges depuis Le Buet,Aiguilles Rouges,46.0167,6.8500,1700,Multi,S3
Grand Mont,Beaufortain,45.7333,6.6167,1400,N,S3
Aiguille de la Nova,Beaufortain,45.7000,6.5833,1250,NE,S4
Roche Parstire,Beaufortain,45.6833,6.6000,1100,S,S3
Col de la Glière,Aiguilles Rouges,45.9667,6.8833,1000,NE,S3
Col de Beugeant,Aiguilles Rouges,45.9500,6.8667,1200,E,S3
Col d'Encrenaz,Aiguilles Rouges,45.9333,6.8500,1100,N,S3
Vallon de Bérard,Chamonix,45.9500,6.8500,700,N,S3
Col des Montets L'Aiguillette des Possettes,Aiguilles Rouges,46.0089,6.9123,850,NE,S3
Haute Route Chamonix-Zermatt,Massif du Mont-Blanc,45.8326,6.8652,1000,E/NE,AD
Pointe du Dzonfié,Beaufortain,45.6167,6.6167,920,SW,S3
Grand Crètet,Beaufortain,45.6000,6.6000,750,N,S2
Le Quermoz,Beaufortain,45.5833,6.5833,800,NE,S3
Col de Tricot,Massif du Mont-Blanc,45.8167,6.8667,1000,S,S3
Mont Tondu,Massif du Mont-Blanc,45.8000,6.8333,900,SW,S3
Monthieu,Massif du Mont-Blanc,45.7833,6.8000,800,W,S2
Rocher des Enclaves,Massif du Mont-Blanc,45.7667,6.7667,700,NW,S3
Monts Jovet,Beaufortain,45.7167,6.6833,1100,E,S3
Pointe de Chaborgne couloir N,Beaufortain,45.6667,6.6500,950,NE,S4
Col de la Fenêtre,Massif du Mont-Blanc,45.8500,6.9000,1200,SE,S3
Col de la Cicle,Massif du Mont-Blanc,45.8333,6.8833,1050,E,S3
Col des Chasseurs,Massif du Mont-Blanc,45.8167,6.8667,950,S,S3
Tête de la Combaz,Chablais,46.0000,6.9333,800,NE,S3
Aiguillette des Houches,Massif du Mont-Blanc,45.8833,6.8000,600,E,S2
Traversée Houches-Vogealle,Massif du Mont-Blanc,45.8667,6.7833,700,Multi,S3
Lac du Brévent,Aiguilles Rouges,45.9667,6.8833,500,N,S2
Col Cornu et Glière,Aiguilles Rouges,45.9500,6.8667,900,NE,S3
Combe du Pouce,Aiguilles Rouges,45.9333,6.8500,800,N,S3
Crochues Brèche de Bérard,Aiguilles Rouges,45.9167,6.8333,1000,W,S4
Alphonse Favre,Aiguilles Rouges,45.9000,6.8167,1100,SW,S3
Col de Salenton,Chablais,45.9833,6.9000,700,E,S2
Refuge de Loriaz,Chablais,46.0167,6.9333,1200,N,S3
Col de la Terrasse,Chablais,46.0000,6.9167,900,NE,S3
