name,massif,lat,lon,denivele_positif,exposition,difficulty_ski,url
"La Petite Barre, Versant Nord",Préalpes de Digne,44.3392,6.51706,1080,N,2.3,https://skitour.fr/topos/8887
"Pierre Muret, face Ouest en boucle",Cerces - Thabor - Mont Cenis,45.1127,6.74732,1400,W,3.1,https://skitour.fr/topos/8884
"Monte Jafferau, combe NE",Cerces - Thabor - Mont Cenis,45.1127,6.74732,1300,NE,3.2,https://skitour.fr/topos/8883
couloir sud en S de la crête de l'Arpion,Ecrins,44.5756,6.4787,1050,S,4.3,https://skitour.fr/topos/8868
Medalges,Dolomites,46.6317,11.8485,925,S,2.1,https://skitour.fr/topos/8867
"Ouille du Midi, Face Est",Alpes Grées S,45.3738,7.0528,1240,E,4.3,https://skitour.fr/topos/8866
Le Garabrut: Les Rampes Suspendues.,Ecrins,44.6814,6.33668,1500,N,5.2,https://skitour.fr/topos/8865
Sommet sans nom 3320,Terskey Ala-Too (Kirghizistan),42.2586,78.1266,1200,NW,2.3,https://skitour.fr/topos/8861
Rochers de Vallorin : Couloir NE de l’antécime NW,Belledonne,45.3162,6.25053,1400,NE,5.4,https://skitour.fr/topos/8860
le déjanté couloir sud&nbsp;,Belledonne,45.3102,6.24952,250,S,4.1,https://skitour.fr/topos/8858
L’envers du dérobé&nbsp;,Belledonne,45.2825,6.07454,1450,NW,4.3,https://skitour.fr/topos/8857
Le Dérobé&nbsp;,Belledonne,45.297,6.07915,1767,SW,5.1,https://skitour.fr/topos/8856
Pointe Est de Jasse Bralard,Belledonne,45.14,5.88837,1116,NW,2.3,https://skitour.fr/topos/8852
Traversée de l'Algäu,Vorarlberg Allgau,47.4113,10.2781,5100,T,2.3,https://skitour.fr/topos/8851
"Pic du glacier d'Arsine, Merci pour ce moment",Ecrins,44.9874,6.4816,1800,N,5.2,https://skitour.fr/topos/8850
"Crête de la Marmottane, face NW",Belledonne,45.2825,6.07454,1600,NW,5.2,https://skitour.fr/topos/8849
"Crête des Granges, face N directe.",Queyras - Alpes Cozie N,44.8753,6.69,1200,N,5.1,https://skitour.fr/topos/8847
"Rocher de l'Homme, Couloir NE (le Z)&nbsp;",Belledonne,45.2032,6.04034,1430,NE,5.1,https://skitour.fr/topos/8846
Grand Pic de la Lauzière : Face Est de l'épaule Nord,Lauzière - Cheval Noir,45.4712,6.4127,1350,E,5.3,https://skitour.fr/topos/8845
Couloir Sud,Taillefer - Matheysine,44.916,5.8788,1500,S,4.3,https://skitour.fr/topos/8842
"Crête de la Rantzei, Couloir SW",Vanoise,45.2997,6.9359,1450,SW,3.2,https://skitour.fr/topos/8841
Corne au Taureau - Face Sud,Haut Giffre - Aiguilles Rouges,46.1069,6.74479,1600,S,3.3,https://skitour.fr/topos/8840
"Pic de Valsenestre, Face Ouest",Ecrins,44.8718,6.03128,1750,SW,5.1,https://skitour.fr/topos/8839
"Puy Gris, Écharpe Nord",Belledonne,45.2904,6.21708,1830,N,5.4,https://skitour.fr/topos/8836
Pointe du Rognier Couloir SE en boucle,Belledonne,45.3945,6.2368,1550,SE,4.1,https://skitour.fr/topos/8835
Muott'Ota,Tessin E - Adula - Grisons,46.43,9.76485,750,NE,2.3,https://skitour.fr/topos/8829
Crap Alv,Tessin E - Adula - Grisons,46.4726,9.74377,650,SE,2.3,https://skitour.fr/topos/8828
Couloir Ouest de l'aiguille du Passon,Mont Blanc,45.9784,6.9266,1300,W,5.2,https://skitour.fr/topos/8826
Dent du Châtelet - Face Nord,Bornes - Aravis,45.8723,6.4645,880,N,5.5,https://skitour.fr/topos/8824
"Pré Charvin, Couloir N",Belledonne,45.3933,6.23578,1150,N,4.3,https://skitour.fr/topos/8823
Plateau de Beure,Vercors,44.8408,5.40583,250,N,2.1,https://skitour.fr/topos/8820
Pump Peak,Chaîne Côtière (BC),49.3673,-122.949,400,S,1.3,https://skitour.fr/topos/8819
"Pointe de Gargan, Face Sud ""Bouquetin Land""&nbsp;",Beaufortain,45.5924,6.6708,1200,S,5.3,https://skitour.fr/topos/8818
"Roignais, Antecime 2943, Face et Couloir SW&nbsp;",Beaufortain,45.5924,6.6708,1300,SW,5.3,https://skitour.fr/topos/8817
Storsylen face ouest,Sylan,62.9785,12.1008,1400,W,3.1,https://skitour.fr/topos/8814
"Les Bans, Sommet NW, Pilier NE",Ecrins,44.9326,6.29254,1900,NE,5.3,https://skitour.fr/topos/8813
Tour de la Levanna Orientale,Alpes Grées S,45.3738,7.0528,2200,E,4.2,https://skitour.fr/topos/8812
Traversée du Tournelon Blanc,Valais W - Alpes Pennines W,0,0,1100,SE,3.3,https://skitour.fr/topos/8811
"Fenêtre du tour, traversée NW-&gt; SE",Mont Blanc,46.0037,6.9467,2000,SE,3.3,https://skitour.fr/topos/8810
"Pic du Malrif, versant Ouest",Queyras - Alpes Cozie N,44.8442,6.81672,862,W,2.1,https://skitour.fr/topos/8809
"Râteau Ouest, Couloir Paquet",Ecrins,45.0447,6.30389,2200,S,5.3,https://skitour.fr/topos/8808
"Le Rissiou, face N",Grandes Rousses - Arves,45.1683,6.0948,1250,N,4.1,https://skitour.fr/topos/8806
Roc Diolon en boucle,Ecrins,44.697,6.3225,1680,T,3.1,https://skitour.fr/topos/8803
"Pic de Chamoissière, Pointe 3078, Face ENE",Ecrins,45.0206,6.36941,1400,NE,5.3,https://skitour.fr/topos/8802
Brèche des barres 3567m couloir Sud,Ecrins,44.9165,6.41724,1700,S,5.3,https://skitour.fr/topos/8797
Pic de Clouzis face Est,Ecrins,44.9011,6.4929,1765,E,5.1,https://skitour.fr/topos/8795
"Vieux Chaillol, Face Nord-Ouest, 'danse bouquetine'",Ecrins,44.7471,6.1226,1920,NW,5.2,https://skitour.fr/topos/8794
Crète de la Souvagea Couloir NW,Ubaye - Parpaillon - Alpes Cozie S,44.5537,6.80431,1200,NW,4.2,https://skitour.fr/topos/8793
Couloir Véronique,Ecrins,45.0206,6.36941,1400,NE,5.2,https://skitour.fr/topos/8788
Grataegga pointe 1446,Beiarn (Norvège),66.7616,14.5733,1200,NE,2.3,https://skitour.fr/topos/8784
Heggmotinden,Alpes de Bodoe (Norvège),67.3554,14.8592,750,S,2.1,https://skitour.fr/topos/8780
Godmother couloir,Alpes de Lyngen (Norvege),69.5827,20.1399,1700,N,5.2,https://skitour.fr/topos/8779
"Roche Noire, Face Ouest directe",Belledonne,45.2651,6.01509,570,W,4.1,https://skitour.fr/topos/8772
Mont Ruan face Sud Ouest,Haut Giffre - Aiguilles Rouges,46.0768,6.83679,2100,T,4.2,https://skitour.fr/topos/8771
Col de Saboulé,Mercantour - Alpes Maritimes Italiennes,44.2609,7.0467,1400,N,2.2,https://skitour.fr/topos/8770
L’or et le Safran,Ecrins,45.0332,6.4037,770,E,5.2,https://skitour.fr/topos/8769
Crête de Combeynot: Couloir Central,Ecrins,45.0108,6.466,1310,NE,5.1,https://skitour.fr/topos/8766
Couloir NE du Puig Sec,Canigó - Catalogne Est,42.5309,2.5193,1650,NE,4.1,https://skitour.fr/topos/8761
"Col de la Grassaz, en AR depuis Champagny",Vanoise,45.459,6.7442,1160,S,2.1,https://skitour.fr/topos/8758
"Pointe Dosia, Couloir Sud",Ecrins,44.9631,6.17812,1900,S,5.1,https://skitour.fr/topos/8756
Grand Miceau - Directe Ouest/Sud Ouest&nbsp;,Belledonne,45.3514,6.27592,1900,T,5.1,https://skitour.fr/topos/8755
Couloir de la Grotte du Sérac des Nants,Vanoise,45.3746,6.7178,1700,W,5.1,https://skitour.fr/topos/8754
"Costes de Sangraure, face NE",Préalpes de Digne,44.259,6.587,1520,NE,4.1,https://skitour.fr/topos/8753
Tour du Pic des Houerts par la Mortice et sa face Nord,Queyras - Alpes Cozie N,44.5976,6.6967,2500,T,4.2,https://skitour.fr/topos/8750
"Tête d'Eslucis, Versant SE par le vallon du Casset",Ecrins,44.5847,6.38361,1500,SE,3.3,https://skitour.fr/topos/8749
Grand S de la face nord de Rossanaz&nbsp;,Bauges,45.6767,6.12659,1100,N,4.3,https://skitour.fr/topos/8745
Traversée Forclaz-Combettes par le Grand mont et la Pointe du Dard,Beaufortain,45.6397,6.55077,900,NE,2.3,https://skitour.fr/topos/8743
"Pointe du Fond du Roure, le Balcon Mary",Ubaye - Parpaillon - Alpes Cozie S,44.593,6.8424,1300,SW,4.3,https://skitour.fr/topos/8742
"Boucle Barmerousse, En-Bovie",Haut Giffre - Aiguilles Rouges,0,0,1200,E,3.3,https://skitour.fr/topos/8741
"Grande Lance d'Allemont, Double Couloir SE",Belledonne,45.1306,6.01986,1600,SE,5.1,https://skitour.fr/topos/8740
"Cimes du Grand Sauvage S3168, Le Moralium&nbsp;",Grandes Rousses - Arves,45.0825,6.1616,1800,SE,5.4,https://skitour.fr/topos/8738
couloir du Diable,Ecrins,44.8596,6.0519,1600,NE,5.2,https://skitour.fr/topos/8737
"La Mollas, couloir suspendu NO",Ecrins,44.8596,6.0519,1620,NW,5.1,https://skitour.fr/topos/8736
Les larmes d'Ulysse,Mercantour - Alpes Maritimes Italiennes,44.1133,7.28947,1300,E,5.2,https://skitour.fr/topos/8735
"Cimes du Grand Sauvage : Couloir S ""en baïonnette"" du Sommet 3049 m",Grandes Rousses - Arves,45.0825,6.1616,1600,S,5.4,https://skitour.fr/topos/8730
Face S suspendue de l’Arete E Pic de l’Etendard,Grandes Rousses - Arves,45.0825,6.1616,2100,S,5.2,https://skitour.fr/topos/8728
"Le Garabrut, Couloir NO",Ecrins,44.6718,6.3242,1290,NW,5.3,https://skitour.fr/topos/8727
"Aiguille d'Arves Méridionale, face Est, Gare à la purge",Grandes Rousses - Arves,45.1207,6.41735,1800,E,5.4,https://skitour.fr/topos/8723
"Pointe de Reyna, face Est",Ecrins,44.6937,6.3706,1400,E,4.3,https://skitour.fr/topos/8722
Couloir Fynn Goudet,Mont Blanc,45.9785,6.92628,1300,NE,5.4,https://skitour.fr/topos/8719
"Pic Ouest de Combeynot, Couloir Sud&nbsp;",Ecrins,45.0206,6.36941,1450,SW,4.1,https://skitour.fr/topos/8718
Les Monges par la Brèche de Clapouse depuis Esparron,Préalpes de Digne,44.3082,6.1588,900,NE,3.2,https://skitour.fr/topos/8715
Les Monges par le Lac depuis Esparron-la-Bâtie,Préalpes de Digne,44.3082,6.1588,900,NE,3.2,https://skitour.fr/topos/8714
Halldor en&nbsp;traversée&nbsp;,Islande,66,-18.5286,1198,T,2.2,https://skitour.fr/topos/8710
Couronne de Chavière&nbsp;,Vanoise,45.2954,6.5861,4000,T,5.3,https://skitour.fr/topos/8700
Schwarzenstein depuis Berliner Hütte,Zillertaler Alpen ,47.026,11.8159,1350,N,3.1,https://skitour.fr/topos/8694
Grosser Möseler depuis Berliner Hütte,Zillertaler Alpen ,47.026,11.8159,1900,T,3.1,https://skitour.fr/topos/8693
"Tête de Tsernou, combe nord",Alpes Vaudoises,46.288,7.136,1500,N,4.1,https://skitour.fr/topos/8690
Dôme de la cochette - Face est,Grandes Rousses - Arves,45.2198,6.217,1500,E,3.2,https://skitour.fr/topos/8689
"Becqui Rouge, Couloir sud",Vanoise,45.459,6.7442,1700,S,4.3,https://skitour.fr/topos/8686
Grossvenediger en traversée,Hohe Tauern,47.1229,12.3005,1200,T,2.2,https://skitour.fr/topos/8683
Maurer Törl en traversée,Hohe Tauern,47.0541,12.3001,1350,T,2.2,https://skitour.fr/topos/8682
Serge Lama&nbsp;,Taillefer - Matheysine,44.9617,5.8749,1300,NE,5.1,https://skitour.fr/topos/8680
Crête du Diable Couloir en Y,Cerces - Thabor - Mont Cenis,45.0194,6.60699,1200,E,4.3,https://skitour.fr/topos/8673
"Pointe de Serre, Rampe nord",Ecrins,44.6153,6.3335,1450,NW,4.3,https://skitour.fr/topos/8672
"Grun de Saint Maurice, écharpe Nord Ouest.&nbsp;",Ecrins,44.8596,6.0519,1750,N,5.1,https://skitour.fr/topos/8671
Tour du Rocher Rond par la Brèche,Belledonne,45.2831,6.21008,1350,SW,3.3,https://skitour.fr/topos/8670
Rőtenspitze ou Punta Rossa,Texel,46.8032,11.1148,1300,N,2.1,https://skitour.fr/topos/8668
Boucle Forcella Cristallino,Dolomites,46.6129,12.2261,1150,T,3.3,https://skitour.fr/topos/8664
Hinterer Kitzkogel depuis l'Italie&nbsp;,Sud Tyrol,46.8962,11.13,1300,N,3.1,https://skitour.fr/topos/8663
Hohe Kreuzspitze&nbsp;,Sud Tyrol,46.8795,11.1636,1100,N,2.2,https://skitour.fr/topos/8662
La Diagonale&nbsp;,Grandes Rousses - Arves,45.0955,6.06973,1200,W,5.3,https://skitour.fr/topos/8660
"Le Triangle, pointe 2483,Couloir N",Mont Blanc,45.8231,6.7351,1221,N,5.1,https://skitour.fr/topos/8657
Rote Wand depuis Antholz (Italie),Sud Tyrol,46.8836,12.155,1200,T,1.3,https://skitour.fr/topos/8654
Tour des Tre Cime,Dolomites,46.6401,12.2324,1160,T,3.1,https://skitour.fr/topos/8652
couloir nord du Mjolvafjellet,Romsdal (Norvège),62.5708,7.78282,1200,N,5.2,https://skitour.fr/topos/8651
Grande Roche de Tré la tête Couloir des contaminés,Mont Blanc,45.8123,6.73045,1300,NW,5.2,https://skitour.fr/topos/8649
Grand Tavé : couloir E,Valais W - Alpes Pennines W,46.0327,7.3078,1600,E,4.3,https://skitour.fr/topos/8648
Le Grand Crot par les pistes,Grand Paradis,45.6082,7.3561,750,NE,1.2,https://skitour.fr/topos/8641
Debela pec,Triglav,46.3516,13.983,800,S,2.1,https://skitour.fr/topos/8639
Pic de Font Freda par le Repla de Montfilla,Cerdagne - Capcir - Conflent,42.5237,1.82044,1232,S,3.1,https://skitour.fr/topos/8636
Toreck en AR,Vorarlberg Allgau,47.3674,10.1749,950,E,2.1,https://skitour.fr/topos/8630
Hählekopf en boucle,Vorarlberg Allgau,47.3425,10.1403,800,SE,2.1,https://skitour.fr/topos/8629
Ochsenloch en boucle depuis Bergheim Moser,Vorarlberg Allgau,47.322,10.1698,1000,NW,3.1,https://skitour.fr/topos/8628
Güntlespitze en boucle depuis Baad,Vorarlberg Allgau,47.3095,10.1223,850,E,2.1,https://skitour.fr/topos/8627
Rocher du Vieux,Lauzière - Cheval Noir,45.423,6.3596,734,SE,3.1,https://skitour.fr/topos/8621
"couloir ""dentalpinisme""",Vanoise,45.4084,6.66024,450,SW,5.1,https://skitour.fr/topos/8620
Lake Peak - Lake Chute (face E),Wasatch,40.5755,-111.681,1000,E,3.3,https://skitour.fr/topos/8619
Lake Peak couloir N,Wasatch,40.5755,-111.681,1000,NE,4.2,https://skitour.fr/topos/8618
Col du Pacheu : Couloir SW,Alpes Vaudoises,46.2553,7.0903,1700,SW,4.2,https://skitour.fr/topos/8617
"MT Wolverine, Cirque NNE",Wasatch,40.5922,-111.628,620,NE,4.2,https://skitour.fr/topos/8615
"Pointe de Portette, couloir ENE",Beaufortain,45.5924,6.6708,1250,E,4.2,https://skitour.fr/topos/8614
Etoile de Dormillouse N par Le Colosse de Rhodes,Ecrins,44.787,6.5342,1760,N,4.1,https://skitour.fr/topos/8613
Black Bess par Grizzly Gulch,Wasatch,40.5922,-111.628,530,SW,2.2,https://skitour.fr/topos/8612
"Tête de la Forclaz, couloir E du col des Nants",Bornes - Aravis,45.9578,6.61,1464,E,4.3,https://skitour.fr/topos/8611
Sous la dent du Cruet par le trou de la Chapelle,Bornes - Aravis,45.8866,6.23724,1200,N,4.1,https://skitour.fr/topos/8610
"Pic de Saint Barthélémy, face SE",Andorre - Ariège,42.7903,1.79028,930,SE,4.1,https://skitour.fr/topos/8609
MT Raymond couloir central Est,Wasatch,40.6492,-111.662,1130,E,4.1,https://skitour.fr/topos/8608
"L'Esillon, traversée Est-Ouest",Ecrins,44.6069,6.33833,915,NE,2.3,https://skitour.fr/topos/8607
Tour de la Petite Miaz,Bornes - Aravis,45.951,6.51781,1250,W,2.3,https://skitour.fr/topos/8606
Days Draw - Reed &amp; Benson Ridge,Wasatch,40.6421,-111.638,900,E,3.3,https://skitour.fr/topos/8605
" Rochers de la Fornaise, Couloir Sud-Est",Belledonne,45.3945,6.2368,1000,SE,4.3,https://skitour.fr/topos/8604
Silver Peak depuis Beartrap TH,Wasatch,40.6364,-111.617,734,SW,2.2,https://skitour.fr/topos/8603
Pic de l'Agnelin : Face W,Belledonne,45.2032,6.04034,1560,W,5.2,https://skitour.fr/topos/8602
Lamaliale Range,Caucase,42.9155,43.0099,850,SW,2.2,https://skitour.fr/topos/8601
"Rochers du Diable, sommet Nord, couloir Nord Est",Ecrins,44.8596,6.0519,1350,E,4.3,https://skitour.fr/topos/8599
"Crête de Martinet, Face Nord",Ecrins,44.7379,6.2479,1750,N,5.1,https://skitour.fr/topos/8598
"Pointe du Sifflet, Le Z&nbsp;",Belledonne,45.2327,5.98874,1100,N,5.1,https://skitour.fr/topos/8596
Le Y de la Petite Lance du Crozet,Belledonne,45.187,5.8994,1400,N,5.1,https://skitour.fr/topos/8595
Col de la Grande Hoche : Couloir NW du Claudet,Ecrins,44.9681,6.1542,1360,NW,5.2,https://skitour.fr/topos/8588
Pic Bunard : Face SW,Belledonne,45.2032,6.04034,1320,SW,5.2,https://skitour.fr/topos/8587
Pic Nord du Says : Face NW,Ecrins,44.9326,6.29254,1680,NW,5.2,https://skitour.fr/topos/8586
Pic Nord du Says : Face NE,Ecrins,44.9326,6.29254,1680,NE,5.2,https://skitour.fr/topos/8585
Pic Nord du Says : Couloir NW,Ecrins,44.9326,6.29254,1680,NW,5.3,https://skitour.fr/topos/8584
"Cime du Pied de Barry : ""Arêtissime""",Ecrins,44.9827,6.1202,1870,T,4.1,https://skitour.fr/topos/8583
Gygrastolen - Voie Normale,Rosendalsalpene,60.0909,6.11385,1340,N,2.3,https://skitour.fr/topos/8581
Couloir NW de la dent du corbeau,Lauzière - Cheval Noir,45.6067,6.3644,1000,NW,4.2,https://skitour.fr/topos/8580
"La Tour Ronde, face Nord-Est",Mont Blanc,45.8791,6.887,600,NE,5.3,https://skitour.fr/topos/8579
face NW du Dôme Blanc du Mulinet,Alpes Grées S,45.3738,7.0528,1500,NW,4.3,https://skitour.fr/topos/8578
Pointe Clavarini face ouest,Alpes Grées S,45.3738,7.0528,1200,W,3.2,https://skitour.fr/topos/8577
"Pointe S de la Grande Felouse, Couloir du Falenos",Alpes Grées S,45.329,7.011,2000,NE,4.3,https://skitour.fr/topos/8576
Couloir Nord du Col du Diable,Ecrins,45.0206,6.36941,1870,N,5.4,https://skitour.fr/topos/8574
Cervin Face Est Intégrale de l'épaule 4240,Valais W - Alpes Pennines W,46.0238,7.74819,2800,E,5.5,https://skitour.fr/topos/8573
Breitinden face ouest,Romsdal (Norvège),62.454,7.66382,1100,W,4.2,https://skitour.fr/topos/8572
Grand Coin (2798m) par le grand versant Nord classique depuis la Ramasse (2000m),Cerces - Thabor - Mont Cenis,0,0,830,T,2.3,https://skitour.fr/topos/8570
Les Dalles 4c du Petit Taillefer,Taillefer - Matheysine,45.0519,5.89987,1100,N,5.2,https://skitour.fr/topos/8569
"Pointe des Neyzets, Versant sud",Ecrins,44.7879,6.46022,1700,S,4.1,https://skitour.fr/topos/8568
"Le Merbelay, couloir NW",Lauzière - Cheval Noir,45.4171,6.364,1050,NW,4.1,https://skitour.fr/topos/8561
Face Ouest,Sunndalsfjella,62.7511,8.63284,1650,W,3.1,https://skitour.fr/topos/8557
"Skjorta, voie normale",Sunndalsfjella,62.6746,8.14776,1600,W,3.2,https://skitour.fr/topos/8554
"Aiguille du Plat de la Selle, Glacier de Burlan&nbsp;",Ecrins,44.9631,6.17812,1200,N,4.3,https://skitour.fr/topos/8552
"Tête de la Marsare, Face NE",Ecrins,44.9631,6.17812,1850,T,5.1,https://skitour.fr/topos/8550
"Gros Van SE, depuis le col des Mosses",Alpes Vaudoises,46.399,7.10262,690,SE,4.1,https://skitour.fr/topos/8548
"Grand Eulier, Face Est (ESE)",Belledonne,45.14,5.88837,1150,E,3.3,https://skitour.fr/topos/8547
De St Pierre en St Pierre par les Hauts de Chartreuse,Chartreuse,45.4127,5.88674,1350,T,2.3,https://skitour.fr/topos/8545
Brèche du 51,Bornes - Aravis,45.9104,6.22165,900,SW,5.1,https://skitour.fr/topos/8544
"Brèche de l'Olan, couloir NW&nbsp;",Ecrins,44.8687,6.09229,1710,NW,4.1,https://skitour.fr/topos/8543
"Cime d'Orgières, face nord du point 3015m",Ecrins,44.8687,6.09229,1750,N,5.1,https://skitour.fr/topos/8542
"Col Turbat, Face nord",Ecrins,44.8687,6.09229,1420,N,4.3,https://skitour.fr/topos/8541
Tour de la crête des Marmes,Ecrins,44.8812,6.01657,2350,T,5.1,https://skitour.fr/topos/8538
"Aiguille de l'Encrenaz, couloir N",Haut Giffre - Aiguilles Rouges,46.0039,6.9235,1450,N,5.3,https://skitour.fr/topos/8536
"Tête du Clotonnet, Couloir Sud en boucle par les Scies de Sainte Anne",Ecrins,44.8177,6.1199,2100,S,4.2,https://skitour.fr/topos/8535
"Dents Blanches Occidentales, Face Sud",Haut Giffre - Aiguilles Rouges,46.1125,6.7503,2200,SE,5.2,https://skitour.fr/topos/8534
"Mont Giusalet, Couloir Sud Ouest",Cerces - Thabor - Mont Cenis,45.1499,6.95731,2150,SW,5.2,https://skitour.fr/topos/8531
"Aiguilles de Valdemars, Couloir &quot;Entre-nuit&quot;",Préalpes de Digne,44.2403,6.61639,900,N,4.1,https://skitour.fr/topos/8529
"Les Mourres Rouges, Couloir Sud de la brèche 2975",Ecrins,44.8265,6.145,1945,S,5.1,https://skitour.fr/topos/8527
"Grande Sure, &quot;Haute Route&quot; des Couvents",Chartreuse,45.2932,5.67482,2985,T,3.3,https://skitour.fr/topos/8526
"Levanna Occidentale, Face Nord Est",Alpes Grées S,45.451,7.18609,1850,NE,5.3,https://skitour.fr/topos/8521
"La Botte, face NE",Belledonne,45.1075,5.87538,650,NE,4.2,https://skitour.fr/topos/8519
"Rache, couloir NE oriental du Pt2304 de l'envers de Rache",Taillefer - Matheysine,44.9467,5.96861,1400,NE,5.1,https://skitour.fr/topos/8517
"Ruchstock, normale",Alpes de Suisse Centrale,46.8701,8.42574,1560,N,4.2,https://skitour.fr/topos/8516
"Roche Close, Face Sud-Est",Préalpes de Digne,44.3591,6.4735,1320,SE,4.1,https://skitour.fr/topos/8508
"Pointe de la Lavoire, Par le couloir Excoffier",Belledonne,45.3162,6.25053,1650,S,5.1,https://skitour.fr/topos/8506
"Grand Cond, Couloir Nord",Ecrins,44.9525,6.17686,1200,N,4.1,https://skitour.fr/topos/8505
"Roche Bernaude, Versant Est",Cerces - Thabor - Mont Cenis,45.0856,6.68996,1750,E,5.1,https://skitour.fr/topos/8502
"Wissberg, Versant S depuis Herrenrüti",Alpes de Suisse Centrale,46.821,8.408,1600,S,4.1,https://skitour.fr/topos/8500
"Grand clocher des Planereuses, Couloir NE",Valais W - Alpes Pennines W,0,0,1540,NE,5.3,https://skitour.fr/topos/8302
"Cime de Las Crousillas, couloir de l'Arcane Majeur",Mercantour - Alpes Maritimes Italiennes,44.1841,7.05172,950,NW,5.1,https://skitour.fr/topos/8298
"Le Grand Veymont, Couloir W",Vercors,0,0,1000,W,4.3,https://skitour.fr/topos/8297
"Aiguilles du Van (ou du Vent), Face Est",Haut Giffre - Aiguilles Rouges,46.0822,6.974,920,E,5.1,https://skitour.fr/topos/8296
"Cime de Bolofré, Couloir S-SE dit &quot;le petit Balafré&quot;",Mercantour - Alpes Maritimes Italiennes,44.2538,6.92439,1250,SE,4.2,https://skitour.fr/topos/8295
"Pic de l’Eychauda pointe 3190m, Il n’y a pas le feu au lac !",Ecrins,44.9011,6.4929,680,E,5.2,https://skitour.fr/topos/8293
"Punta Patri Sud, Linea senza frontiere",Grand Paradis,45.5955,7.39075,700,SE,5.4,https://skitour.fr/topos/8282
"Obiou, La combe du Petit Obiou",Devoluy,44.7681,5.8891,1800,N,5.1,https://skitour.fr/topos/8280
"Obiou, La Cheminée du Petit Obiou",Devoluy,44.7681,5.8891,1800,SE,5.2,https://skitour.fr/topos/8277
"Grande Ciamarella, Arete Est et face Sud-Est",Alpes Grées S,45.3024,7.2175,2400,SE,5.2,https://skitour.fr/topos/8276
"Pointe Blanche, t'as le look coco",Bornes - Aravis,45.9774,6.4691,1040,SW,5.2,https://skitour.fr/topos/8274
"Cime des ruines, couloir NE",Cerces - Thabor - Mont Cenis,45.0025,6.66083,750,NE,4.3,https://skitour.fr/topos/8273
"Pic des Moines, Par Astun",Navarre - Béarn,42.8091,-0.50885,650,S,3.1,https://skitour.fr/topos/8269
"Crête du Lauzet, couloir de Pra Clapier en boucle",Ubaye - Parpaillon - Alpes Cozie S,44.4908,6.47917,1000,NW,4.3,https://skitour.fr/topos/8265
"Monte Freide, Couloir SO",Ubaye - Parpaillon - Alpes Cozie S,44.4981,6.9195,1325,SW,4.1,https://skitour.fr/topos/8260
"Pointe d'Almet, Antécime 2205 face SE",Bornes - Aravis,46.0018,6.5408,1165,SE,4.3,https://skitour.fr/topos/8255
"Aiguille Méridionale d'Arves, Méridionale directe ENE",Grandes Rousses - Arves,45.1207,6.41735,1800,NE,5.4,https://skitour.fr/topos/8254
"Sommet de Charra, Face Nord",Cerces - Thabor - Mont Cenis,45.0453,6.73623,1400,N,4.3,https://skitour.fr/topos/8247
"Aiguille des Saffres, Par la Muande de Constantine",Ecrins,44.8269,6.2509,1720,S,3.2,https://skitour.fr/topos/8243
